scientific.name,common.name,iconic.taxon.name,groups,observed.on,place.guess,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url,license,source,checklist,count,longitude,latitude
Buteo jamaicensis,red-tailed hawk,Aves,Birds,2026-08-09,Saguaro NP--East--Cactus Forest Dr Loop,NA,NA,NA,NA,https://ebird.org/checklist/S381652398,NA,NA,eBird,S381652398,3,-110.7076505,32.191219
Buteo jamaicensis,red-tailed hawk,Aves,Birds,2026-08-08,"Saguaro NP--East--Rincon Mountains Unit  (Historical, please do not use for current lists)",NA,NA,NA,NA,https://ebird.org/checklist/S381337802,NA,NA,eBird,S381337802,1,-110.719749,32.180752
Buteo jamaicensis,red-tailed hawk,Aves,Birds,2026-08-05,Saguaro NP--West--Hugh Norris Trail,NA,NA,NA,NA,https://ebird.org/checklist/S380641008,NA,NA,eBird,S380641008,1,-111.1983991,32.2694148
Buteo jamaicensis,red-tailed hawk,Aves,Birds,2026-08-05,Saguaro NP--West--Desert Discovery Trail,NA,NA,NA,NA,https://ebird.org/checklist/S380254466,NA,NA,eBird,S380254466,1,-111.2106575,32.2625304
Buteo jamaicensis,red-tailed hawk,Aves,Birds,2026-08-05,Saguaro NP--East--Lower Chiminea Canyon,NA,NA,NA,NA,https://ebird.org/checklist/S380197643,NA,NA,eBird,S380197643,1,-110.6086395,32.1534807
Agelaius phoeniceus,red-winged blackbird,Aves,Birds,2026-08-09,"Saguaro NP--East--Rincon Mountains Unit  (Historical, please do not use for current lists)",NA,NA,NA,NA,https://ebird.org/checklist/S381803755,NA,NA,eBird,S381803755,1,-110.719749,32.180752
Phrynosoma solare,regal horned lizard,Reptilia,Reptiles,2026-08-06,"Saguaro National Park - Rincon Mountain District, Tucson, AZ, US",4,nvpyromelana,193847,false,https://www.inaturalist.org/observations/389550784,https://inaturalist-open-data.s3.amazonaws.com/photos/713563473/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.6767116667,32.1406166667
Phrynosoma solare,regal horned lizard,Reptilia,Reptiles,2026-08-06,"Hope Camp Trail, Tucson, AZ, US",26,desert_hambone,8378584,false,https://www.inaturalist.org/observations/388968632,https://inaturalist-open-data.s3.amazonaws.com/photos/712460400/medium.jpg,CC-BY-NC,iNaturalist,NA,1,-110.67672,32.1405861667
Aimophila ruficeps,rufous-crowned sparrow,Aves,Birds,2026-08-08,Saguaro NP--East--Extreme Living Overlook,NA,NA,NA,NA,https://ebird.org/checklist/S381353625,NA,NA,eBird,S381353625,2,-110.731385,32.189803
Aimophila ruficeps,rufous-crowned sparrow,Aves,Birds,2026-08-07,Saguaro NP--East--Desert Ecology Trail,NA,NA,NA,NA,https://ebird.org/checklist/S380984701,NA,NA,eBird,S380984701,1,-110.724721,32.2035417
Peucaea carpalis,rufous-winged sparrow,Aves,Birds,2026-08-10,Saguaro NP--East--Desert Ecology Trail,NA,NA,NA,NA,https://ebird.org/checklist/S382061545,NA,NA,eBird,S382061545,6,-110.724721,32.2035417
Peucaea carpalis,rufous-winged sparrow,Aves,Birds,2026-08-10,Saguaro NP--East--Mica View,NA,NA,NA,NA,https://ebird.org/checklist/S382075428,NA,NA,eBird,S382075428,2,-110.7246381,32.2111462
Peucaea carpalis,rufous-winged sparrow,Aves,Birds,2026-08-10,Saguaro NP--West--Desert Discovery Trail,NA,NA,NA,NA,https://ebird.org/checklist/S382039197,NA,NA,eBird,S382039197,1,-111.2106575,32.2625304
Peucaea carpalis,rufous-winged sparrow,Aves,Birds,2026-08-08,Saguaro NP--East--Cactus Forest Dr Loop,NA,NA,NA,NA,https://ebird.org/checklist/S381362931,NA,NA,eBird,S381362931,1,-110.7076505,32.191219
Peucaea carpalis,rufous-winged sparrow,Aves,Birds,2026-08-08,Saguaro NP--East--Extreme Living Overlook,NA,NA,NA,NA,https://ebird.org/checklist/S381376308,NA,NA,eBird,S381376308,1,-110.731385,32.189803
Peucaea carpalis,rufous-winged sparrow,Aves,Birds,2026-08-08,"Saguaro NP--East--Rincon Mountains Unit  (Historical, please do not use for current lists)",NA,NA,NA,NA,https://ebird.org/checklist/S381337802,NA,NA,eBird,S381337802,2,-110.719749,32.180752
Peucaea carpalis,rufous-winged sparrow,Aves,Birds,2026-08-07,Saguaro NP--East--Cactus Forest South Trailhead,NA,NA,NA,NA,https://ebird.org/checklist/S380826761,NA,NA,eBird,S380826761,2,-110.7287979,32.1704179
